Track,Question_no,Question,Answer_A,Answer_B,Answer_C,Correct Answer
SALES & BUSINESS DEVELOPMENT (AR),5,يسأل عميل عن شيء لا تعرفه. ماذا تفعل؟,إخبارهم بأنك ستعرف الأمر بدلاً من اختلاق شيء.,تقديم أفضل تخمين لديك.,سؤال أقرب شخص إن كان يعرف... باستخدام مكبر الصوت.,A
SALES & BUSINESS DEVELOPMENT (AR),6,لم يرد عميل على رسالتك الأخيرة. ما أفضل خطوة؟,التواصل مرة أخيرة ثم منحهم بعض المساحة.,الاستمرار في الرسائل حتى يردوا.,إرسال علامات استفهام لهم كل ساعة.,A
SALES & BUSINESS DEVELOPMENT (AR),7,تلاحظ أن شركة ما تحتاج حقاً لما تقدمه شركتك. ماذا تفعل؟,بدء محادثة ومعرفة ما إذا كان بإمكانك المساعدة.,الانتظار والأمل في أنهم سيجدون موقعك الإلكتروني يوماً ما.,الظهور بلافتة عملاقة كتب عليها اشترِ منتجاتنا!,A
SALES & BUSINESS DEVELOPMENT (AR),8,عميل منزعج لأن شيئاً ما سار بشكل خاطئ. ماذا تفعل؟,الاستماع أولاً ثم حل المشكلة.,شرح سبب عدم كون ذلك خطأك في الواقع.,تغيير ملفك الشخصي على LinkedIn حتى لا يتمكنوا من إيجادك.,A
SALES & BUSINESS DEVELOPMENT (AR),9,لماذا يستمر الناس في الشراء من نفس مندوب المبيعات؟,لأنهم يثقون بهم.,لأن لديهم دائماً أدنى الأسعار.,لأن مندوب المبيعات يتذكر عيد ميلاد كلبهم.,A
SALES & BUSINESS DEVELOPMENT (AR),10,إذاً... ماذا يفعل شخص في المبيعات وتطوير الأعمال فعلاً؟,مقابلة الناس وحل المشاكل ومساعدة الأعمال على النمو.,قضاء اليوم كله في محاولة إقناع الناس بشراء الأشياء.,شرب القهوة وجمع بطاقات العمل وتسمية ذلك شبكات التواصل.,A
ARCHITECTURE & DESIGN (AR),1,يقول عميل: أريد منزلاً عصرياً وعملياً ومثالياً لعائلتي. ما أول خطوة تتخذها؟,طرح الكثير من الأسئلة قبل البدء في التصميم.,البدء في رسم أجمل منزل يمكنك التفكير فيه.,نسخ قصر توني ستارك من فيلم.,A
ARCHITECTURE & DESIGN (AR),2,تصميمك يبدو رائعاً... لكنه يتجاوز ميزانية العميل بكثير. ماذا تفعل؟,تغيير التصميم بحيث يبقى رائعاً لكنه أقل تكلفة.,إخبارهم بإيجاد المزيد من المال.,اقتراح أن يبدأوا حملة GoFundMe.,A
ARCHITECTURE & DESIGN (AR),3,يقول البنّاؤون إن جزءاً من تصميمك لا يمكن بناؤه فعلياً. ماذا تفعل؟,العمل معهم للعثور على حل أفضل.,إخبارهم بإيجاد الحل بأنفسهم.,إخبارهم بأن الجاذبية مجرد اقتراح.,A
ARCHITECTURE & DESIGN (AR),4,يطلب العميل غرفة نوم إضافية لكن لا توجد مساحة إضافية. ماذا تفعل؟,البحث عن تخطيط أذكى يستخدم المساحة بشكل أفضل.,جعل كل غرفة أصغر قليلاً.,إضافة غرفة على السطح والأمل في ألا يلاحظ أحد.,A
ARCHITECTURE & DESIGN (AR),5,أنت تصمم مدرسة. ما الأكثر أهمية؟,جعلها آمنة وعملية وممتعة للطلاب.,التأكد من أنها تبدو جيدة في صور الطائرات المسيّرة.,إضافة منزلق بدلاً من السلالم في كل مكان.,A
ARCHITECTURE & DESIGN (AR),6,انظر إلى الصور. أي تصميم يحقق أفضل أداء في جعل المبنى سهل الاستخدام للجميع؟ (سؤال بصري),الذي يحتوي على مدخل آمن وميسّر للجميع.,الذي يحتوي على أكبر درج لأنه يبدو مثيراً للإعجاب.,أيهما يحتوي على أكبر قدر من الزجاج.,A
ARCHITECTURE & DESIGN (AR),7,يغيّر عميلك رأيه كل أسبوع. ماذا تفعل؟,الاستماع وتحديث التصميم وشرح كيفية تأثير التغييرات على المشروع.,الاستمرار في تغيير كل شيء دون قول أي شيء.,حفظ 47 نسخة مختلفة باسم Final_Final_v9_REAL.,A
ARCHITECTURE & DESIGN (AR),8,أنهيت تصميماً ولاحظت خطأً صغيراً قبل إرساله إلى العميل. ماذا تفعل؟,إصلاحه الآن قبل أن يبدأ أحد في البناء.,الأمل في ألا يلاحظه أحد.,التكبير إلى 500٪ والتظاهر بأنه فن حديث.,A
ARCHITECTURE & DESIGN (AR),9,يقول شخص ما: الهندسة المعمارية مجرد رسم مبانٍ. ماذا ستقول؟,إنها تتعلق بتصميم أماكن يمكن للناس فعلاً الاستمتاع بالعيش والعمل فيها.,إنها في معظمها اختيار الألوان.,إنها مجرد لعب The Sims طوال اليوم.,A
ARCHITECTURE & DESIGN (AR),10,إذاً... ماذا يفعل المعماري فعلاً؟,تحويل الأفكار إلى أماكن يمكن للناس العيش والعمل والاستمتاع بالحياة فيها.,قضاء اليوم كله في جعل المباني تبدو أنيقة.,حمل لفافة ضخمة من المخططات في كل مكان يذهبون إليه.,A
